Season,GameID,UTCDate,GameName,Team1_FullName,Team2_FullName,GameID_DB
2018-2019,5b7aa217aeda719939a3b33b,2019-01-05T18:00:00Z,Brock@WesternOntario,Western Ontario Mustangs,Brock Badgers,W20190105WESBRO
2018-2019,5b76ea8911ef0d11039497bd,2019-01-05T02:00:00Z,BrandonUni@FraserValley,Fraser Valley Cascades,Brandon University Bobcats,W20190105UFVBRA
2018-2019,5b76ea8911ef0d11039497c1,2019-01-05T02:00:00Z,Regina@Victoria,Victoria Vikes,Regina (Canada) Cougars,W20190105VICREG
2018-2019,5b76ea8911ef0d11039497c9,2019-01-05T02:00:00Z,BCOkanagan @BritishColumbia,British Columbia Thunderbirds,British Columbia - Okanagan ,W20190105UBCUNK
2018-2019,5b76ea8911ef0d11039497cd,2019-01-05T02:00:00Z,Winnipeg@TrinityWestern,Trinity Western Spartans,Winnipeg Wesmen,W20190105TWUWIN
2018-2019,5c30762285d07ba9767ac3ea,2019-01-05T02:00:00Z,ThompsonRivers@NorthernBC,Northern British Columbia Timberwolves,Thompson Rivers University Wolfpack,W20190105UNBCTRU
2018-2019,5b76ea8911ef0d11039497ba,2019-01-05T01:00:00Z,ManitobaBisons@Alberta,Alberta Pandas,Manitoba Bisons,W20190105ALBMAN
2018-2019,5b76ea8911ef0d11039497b6,2019-01-05T00:00:00Z,Lethbridge@Saskatchewan,Saskatchewan Huskies,Lethbridge Pronghorns,W20190105SASLET
2018-2019,5b7aa217aeda719939a3b313,2019-01-04T23:00:00Z,York(ONT)@Nipissing,Nipissing Lakers,York (ONT) Lions,W20190104NIPYOR
2018-2019,5b7aa217aeda719939a3b31f,2019-01-04T23:00:00Z,McMaster@Laurier,Wilfrid Laurier,McMaster Marauders,W20190104WLUMAC
2018-2019,5b7aa217aeda719939a3b329,2019-01-04T23:00:00Z,Lakehead@Guelph,Guelph Gryphons,Lakehead University Thunderwolves,W20190104GUELAK
2018-2019,5b7aa217aeda719939a3b32e,2019-01-04T23:00:00Z,QueensOntario@Laurentian,Laurentian Voyageurs ,Queens (ON) University Golden Gaels,W20190104UNKQUE
2018-2019,5b7aa217aeda719939a3b332,2019-01-04T23:00:00Z,Waterloo@Algoma,Algoma Thunderbirds,Waterloo Warriors,W20190104ALGWAT
2018-2019,5b7b7506aeda71993970b953,2019-01-04T22:00:00Z,StFrancisXavier@SaintMary's(CAN),Saint Mary's (CAN) Huskies  ,St. Francis Xavier X-Men,W20190104UNKUNK
2018-2019,5b76ea8911ef0d11039497b1,2019-01-04T01:00:00Z,Calgary@MountRoyal,Mount Royal Cougars ,Calgary Dinos,W20190104UNKCAL
2018-2019,5ba11a87aeda71993926eb9e,2018-12-29T08:27:00Z,CarletonUni@Laval,Laval University,Carleton University Ravens,W20181229LAVCAR
2018-2019,5ba14f43aeda719939a89d0a,2018-12-29T08:27:00Z,Regina@Lakehead,Lakehead University Thunderwolves,Regina (Canada) Cougars,W20181229LAKREG
2018-2019,5ba11381aeda71993919155c,2018-12-28T08:27:00Z,Regina@Algoma,Algoma Thunderbirds,Regina (Canada) Cougars,W20181228ALGREG
2018-2019,5c162e6685d07ba976126d87,2018-12-15T22:30:00Z,Lethbridge@Providence(MT),Providence (MT) Argonauts,Lethbridge Pronghorns,W20181215UNKLET
2018-2019,5ba11381aeda719939191557,2018-12-14T18:00:00Z,Algoma@LakeSuperiorState,Lake Superior State Lakers,Algoma Thunderbirds,W20181214UNKALG
2018-2019,5b7a8f59aeda719939de2449,2018-12-02T19:00:00Z,UniOttawa@Algoma,Algoma Thunderbirds,Ottawa Gee-Gees,W20181202ALGOTT
2018-2019,5b7a8f59aeda719939de2441,2018-12-02T18:00:00Z,CarletonUni@Guelph,Guelph Gryphons,Carleton University Ravens,W20181202GUECAR
2018-2019,5b76ea8911ef0d11039497a7,2018-12-02T01:00:00Z,MountRoyal@BritishColumbia,British Columbia Thunderbirds,Mount Royal Cougars ,W20181202UBCUNK
2018-2019,5b76ea8911ef0d11039497ac,2018-12-02T01:00:00Z,FraserValley@BCOkanagan ,British Columbia - Okanagan ,Fraser Valley Cascades,W20181202UNKUFV
2018-2019,5b76ffa111ef0d1103e7a964,2018-12-02T01:00:00Z,BrandonUni@Winnipeg,Winnipeg Wesmen,Brandon University Bobcats,W20181202WINBRA
2018-2019,5b76ffa111ef0d1103e7a969,2018-12-02T01:00:00Z,Alberta@ThompsonRivers,Thompson Rivers University Wolfpack,Alberta Pandas,W20181202TRUALB
2018-2019,5b76ffa111ef0d1103e7a95a,2018-12-02T00:00:00Z,MacEwan@Regina,Regina (Canada) Cougars,MacEwan University Griffins,W20181202REGMAC
2018-2019,5b76ffa111ef0d1103e7a95e,2018-12-02T00:00:00Z,Lethbridge@Calgary,Calgary Dinos,Lethbridge Pronghorns,W20181202CALLET
2018-2019,5b782df911ef0d110339098d,2018-12-01T23:00:00Z,McGill@Bishops,Bishops Gaiters,McGill University Martlets,W20181201BISMCG
2018-2019,5b7a8d00aeda719939bf8e1e,2018-12-01T23:00:00Z,TorontoVarBlues@Lakehead,Lakehead University Thunderwolves,Toronto Varsity Blues,W20181201LAKTOR
2018-2019,5b7a8d00aeda719939bf8e25,2018-12-01T23:00:00Z,York(ONT)@Brock,Brock Badgers,York (ONT) Lions,W20181201BROYOR
2018-2019,5b7a8d00aeda719939bf8e2d,2018-12-01T23:00:00Z,WesternOntario@Laurentian,Laurentian Voyageurs ,Western Ontario Mustangs,W20181201UNKWES
2018-2019,5b7a8f59aeda719939de2427,2018-12-01T23:00:00Z,QueensOntario@McMaster,McMaster Marauders,Queens (ON) University Golden Gaels,W20181201MACQUE
2018-2019,5b7a8f59aeda719939de2439,2018-12-01T23:00:00Z,Windsor@Nipissing,Nipissing Lakers,Windsor Lancers,W20181201NIPWIN
2018-2019,5b782df911ef0d1103390987,2018-12-01T19:00:00Z,QuebecMontreal@Concordia(QUE),Concordia (QUE) Stingers,University Quebec - Montreal,W20181201CONUQA
2018-2019,5b76ffa111ef0d1103e7a950,2018-12-01T02:00:00Z,FraserValley@BCOkanagan ,British Columbia - Okanagan ,Fraser Valley Cascades,W20181201UNKUFV
2018-2019,5b76ffa111ef0d1103e7a955,2018-12-01T02:00:00Z,MountRoyal@BritishColumbia,British Columbia Thunderbirds,Mount Royal Cougars ,W20181201UBCUNK
2018-2019,5b76ffa111ef0d1103e7a94d,2018-12-01T01:00:00Z,Alberta@ThompsonRivers,Thompson Rivers University Wolfpack,Alberta Pandas,W20181201TRUALB
