Season,GameID,UTCDate,GameName,Team1_FullName,Team2_FullName,GameID_DB
2022-2023,6333fabdcf31008b53d463e0,2023-02-17T23:00:00Z,QueensOntario@Nipissing,Nipissing Lakers,Queens (ON) University Golden Gaels,W20230217NIPQUE
2022-2023,63331512cf31008b53665e64,2023-02-17T23:00:00Z,Algoma@Lakehead,Lakehead University Thunderwolves,Algoma Thunderbirds,W20230217LAKALG
2022-2023,63316cdfe0927e6968dd148e,2023-02-17T23:00:00Z,CapeBreton@SaintMary's(CAN),Saint Mary's (CAN) Huskies,Cape Breton Capers,W20230217SMUCB
2022-2023,6333f72bcf31008b53ad32fa,2023-02-17T23:00:00Z,Waterloo@McMaster,McMaster Marauders,Waterloo Warriors,W20230217MACWAT
2022-2023,63315b25e0927e6968dece15,2023-02-17T23:00:00Z,Bishops@Laval,Laval University,Bishops Gaiters,W20230217LAVBIS
2022-2023,633319d0cf31008b538bf87a,2023-02-17T23:00:00Z,OntarioTech@Laurentian,Laurentian Voyageurs,Ontario Tech,W20230217LAUONT
2022-2023,63ecf38f76cb1b2c6cc05c94,2023-02-17T18:00:00Z,MountRoyal@Winnipeg,Winnipeg Wesmen,Mount Royal Cougars,W20230217WINMRU
2022-2023,63ecf38f76cb1b2c6cc05c0d,2023-02-17T17:00:00Z,NorthernBC@FraserValley,Fraser Valley Cascades,Northern British Columbia Timberwolves,W20230217UFVUNBC
2022-2023,6333eeffcf31008b535c98f9,2023-02-15T23:00:00Z,WesternOntario@Guelph,Guelph Gryphons,Western Ontario Mustangs,W20230215GUEWES
2022-2023,633408d3cf31008b5371e242,2023-02-15T23:00:00Z,York(ONT)@Waterloo,Waterloo Warriors,York (ONT) Lions,W20230215WATYOR
2022-2023,63331077cf31008b53472704,2023-02-15T23:00:00Z,Laurier@Windsor,Windsor Lancers,Wilfrid Laurier,W20230215WINWLU
2022-2023,63d571fa16efd8b4f1cba989,2023-02-15T18:00:00Z,UniOttawa@CarletonUni,Carleton University Ravens,Ottawa Gee-Gees,W20230215CAROTT
2022-2023,63316807e0927e69689a26fc,2023-02-14T23:00:00Z,Acadia@StFrancisXavier,St. Francis Xavier X-Women,Acadia Axewomen,W20230214SFXACA
2022-2023,633402fbcf31008b532e154c,2023-02-12T18:00:00Z,QueensOntario@York(ONT),York (ONT) Lions,Queens (ON) University Golden Gaels,W20230212YORQUE
2022-2023,6331774de0927e69686a2fba,2023-02-12T17:00:00Z,NewBrunswick@MemorialCan,Memorial Sea-Hawks,New Brunswick Varsity Reds,W20230212MEMUNB
2022-2023,633415bacf31008b53fcbbe5,2023-02-12T00:30:00Z,ManitobaBisons@ThompsonRivers,Thompson Rivers University Wolfpack,Manitoba Bisons,W20230212TRUMAN
2022-2023,6334493ccf31008b53fb241e,2023-02-12T00:00:00Z,TrinityWestern@Winnipeg,Winnipeg Wesmen,Trinity Western Spartans,W20230212WINTWU
2022-2023,63317292e0927e69682b33e7,2023-02-11T23:00:00Z,Dalhousie@SaintMary's(CAN),Saint Mary's (CAN) Huskies,Dalhousie Tigers,W20230211SMUDAL
2022-2023,6331774ce0927e69686a18ef,2023-02-11T23:00:00Z,NewBrunswick@MemorialCan,Memorial Sea-Hawks,New Brunswick Varsity Reds,W20230211MEMUNB
